"Country Code","Holiday","Date"
"AU","New Year’s Day","2025-01-01"
"AU","Australia Day (substitute)","2025-01-27"
"AU","Canberra Day","2025-03-10"
"AU","Good Friday","2025-04-18"
"AU","Easter Saturday","2025-04-19"
"AU","Easter Monday","2025-04-21"
"AU","Anzac Day","2025-04-25"
"AU","King’s Birthday","2025-06-09"
"AU","Labour Day (ACT)","2025-10-06"
"AU","Christmas Day","2025-12-25"
"AU","Boxing Day","2025-12-26"
"JP","New Year’s Day","2020-01-01"
"JP","Coming of Age Day","2020-01-13"
"JP","National Foundation Day","2020-02-11"
"JP","Emperor’s Birthday","2020-02-23"
"JP","Vernal Equinox Day","2020-03-20"
"JP","Showa Day","2020-04-29"
"JP","Constitution Memorial Day","2020-05-03"
"JP","Greenery Day","2020-05-04"
"JP","Children’s Day","2020-05-05"
"JP","Marine Day","2020-07-23"
"JP","Mountain Day","2020-08-10"
"JP","Respect for the Aged Day","2020-09-21"
"JP","Autumnal Equinox Day","2020-09-22"
"JP","Sports Day","2020-07-24"
"JP","Culture Day","2020-11-03"
"JP","Labor Thanksgiving Day","2020-11-23"
"JP","New Year’s Day","2021-01-01"
"JP","Coming of Age Day","2021-01-11"
"JP","National Foundation Day","2021-02-11"
"JP","Emperor’s Birthday","2021-02-23"
"JP","Vernal Equinox Day","2021-03-20"
"JP","Showa Day","2021-04-29"
"JP","Constitution Memorial Day","2021-05-03"
"JP","Greenery Day","2021-05-04"
"JP","Children’s Day","2021-05-05"
"JP","Marine Day","2021-07-22"
"JP","Sports Day","2021-07-23"
"JP","Mountain Day","2021-08-08"
"JP","Respect for the Aged Day","2021-09-20"
"JP","Autumnal Equinox Day","2021-09-23"
"JP","Culture Day","2021-11-03"
"JP","Labor Thanksgiving Day","2021-11-23"
"JP","New Year’s Day","2022-01-01"
"JP","Coming of Age Day","2022-01-10"
"JP","National Foundation Day","2022-02-11"
"JP","Emperor’s Birthday","2022-02-23"
"JP","Vernal Equinox Day","2022-03-21"
"JP","Showa Day","2022-04-29"
"JP","Constitution Memorial Day","2022-05-03"
"JP","Greenery Day","2022-05-04"
"JP","Children’s Day","2022-05-05"
"JP","Marine Day","2022-07-18"
"JP","Mountain Day","2022-08-11"
"JP","Respect for the Aged Day","2022-09-19"
"JP","Autumnal Equinox Day","2022-09-23"
"JP","Sports Day","2022-10-10"
"JP","Culture Day","2022-11-03"
"JP","Labor Thanksgiving Day","2022-11-23"
"JP","New Year’s Day","2023-01-01"
"JP","Coming of Age Day","2023-01-09"
"JP","National Foundation Day","2023-02-11"
"JP","Emperor’s Birthday","2023-02-23"
"JP","Vernal Equinox Day","2023-03-21"
"JP","Showa Day","2023-04-29"
"JP","Constitution Memorial Day","2023-05-03"
"JP","Greenery Day","2023-05-04"
"JP","Children’s Day","2023-05-05"
"JP","Marine Day","2023-07-17"
"JP","Mountain Day","2023-08-11"
"JP","Respect for the Aged Day","2023-09-18"
"JP","Autumnal Equinox Day","2023-09-23"
"JP","Sports Day","2023-10-09"
"JP","Culture Day","2023-11-03"
"JP","Labor Thanksgiving Day","2023-11-23"
"JP","New Year’s Day","2024-01-01"
"JP","Coming of Age Day","2024-01-08"
"JP","National Foundation Day","2024-02-11"
"JP","Emperor’s Birthday","2024-02-23"
"JP","Vernal Equinox Day","2024-03-20"
"JP","Showa Day","2024-04-29"
"JP","Constitution Memorial Day","2024-05-03"
"JP","Greenery Day","2024-05-04"
"JP","Children’s Day","2024-05-06"
"JP","Marine Day","2024-07-15"
"JP","Mountain Day","2024-08-11"
"JP","Respect for the Aged Day","2024-09-16"
"JP","Autumnal Equinox Day","2024-09-23"
"JP","Sports Day","2024-10-14"
"JP","Culture Day","2024-11-04"
"JP","Labor Thanksgiving Day","2024-11-23"
"JP","New Year’s Day","2025-01-01"
"JP","Coming of Age Day","2025-01-13"
"JP","National Foundation Day","2025-02-11"
"JP","Emperor’s Birthday","2025-02-23"
"JP","Vernal Equinox Day","2025-03-20"
"JP","Showa Day","2025-04-29"
"JP","Constitution Memorial Day","2025-05-03"
"JP","Greenery Day","2025-05-04"
"JP","Children’s Day","2025-05-05"
"JP","Marine Day","2025-07-21"
"JP","Mountain Day","2025-08-11"
"JP","Respect for the Aged Day","2025-09-15"
"JP","Autumnal Equinox Day","2025-09-23"
"JP","Sports Day","2025-10-13"
"JP","Culture Day","2025-11-03"
"JP","Labor Thanksgiving Day","2025-11-23"
"US","New Year’s Day","2020-01-01"
"US","Martin Luther King Jr. Day","2020-01-20"
"US","Presidents’ Day","2020-02-17"
"US","Memorial Day","2020-05-25"
"US","Independence Day","2020-07-03"
"US","Labor Day","2020-09-07"
"US","Columbus Day","2020-10-12"
"US","Veterans Day","2020-11-11"
"US","Thanksgiving Day","2020-11-26"
"US","Christmas Day","2020-12-25"
"US","New Year’s Day","2021-01-01"
"US","Martin Luther King Jr. Day","2021-01-18"
"US","Presidents’ Day","2021-02-15"
"US","Memorial Day","2021-05-31"
"US","Juneteenth (substitute)","2021-06-18"
"US","Independence Day (substitute)","2021-07-05"
"US","Labor Day","2021-09-06"
"US","Columbus Day","2021-10-11"
"US","Veterans Day","2021-11-11"
"US","Thanksgiving Day","2021-11-25"
"US","Christmas Day (substitute)","2021-12-24"
"US","New Year’s Day (substitute)","2022-01-01"
"US","Martin Luther King Jr. Day","2022-01-17"
"US","Presidents’ Day","2022-02-21"
"US","Memorial Day","2022-05-30"
"US","Juneteenth (substitute)","2022-06-20"
"US","Independence Day","2022-07-04"
"US","Labor Day","2022-09-05"
"US","Columbus Day","2022-10-10"
"US","Veterans Day","2022-11-11"
"US","Thanksgiving Day","2022-11-24"
"US","Christmas Day (substitute)","2022-12-26"
"US","New Year’s Day","2023-01-01"
"US","Martin Luther King Jr. Day","2023-01-16"
"US","Presidents’ Day","2023-02-20"
"US","Memorial Day","2023-05-29"
"US","Juneteenth","2023-06-19"
"US","Independence Day","2023-07-04"
"US","Labor Day","2023-09-04"
"US","Columbus Day","2023-10-09"
"US","Veterans Day (substitute)","2023-11-10"
"US","Thanksgiving Day","2023-11-23"
"US","Christmas Day","2023-12-25"
"US","New Year’s Day","2024-01-01"
"US","Martin Luther King Jr. Day","2024-01-15"
"US","Presidents’ Day","2024-02-19"
"US","Memorial Day","2024-05-27"
"US","Juneteenth","2024-06-19"
"US","Independence Day","2024-07-04"
"US","Labor Day","2024-09-02"
"US","Columbus Day","2024-10-14"
"US","Veterans Day","2024-11-11"
"US","Thanksgiving Day","2024-11-28"
"US","Christmas Day","2024-12-25"
"US","New Year’s Day","2025-01-01"
"US","Martin Luther King Jr. Day","2025-01-20"
"US","Presidents’ Day","2025-02-17"
"US","Memorial Day","2025-05-26"
"US","Juneteenth","2025-06-19"
"US","Independence Day","2025-07-04"
"US","Labor Day","2025-09-01"
"US","Columbus Day","2025-10-13"
"US","Veterans Day","2025-11-11"
"US","Thanksgiving Day","2025-11-27"
"US","Christmas Day","2025-12-25"
"EU","New Year’s Day","2020-01-01"
"EU","Good Friday","2020-04-10"
"EU","Easter Monday","2020-04-13"
"EU","Labour Day","2020-05-01"
"EU","Christmas Eve","2020-12-24"
"EU","Christmas Day","2020-12-25"
"EU","Boxing Day","2020-12-26"
"EU","New Year’s Day","2021-01-01"
"EU","Good Friday","2021-04-02"
"EU","Easter Monday","2021-04-05"
"EU","Labour Day","2021-05-01"
"EU","Christmas Eve","2021-12-24"
"EU","Christmas Day","2021-12-25"
"EU","Boxing Day (substitute)","2021-12-27"
"EU","New Year’s Day","2022-01-01"
"EU","Good Friday","2022-04-15"
"EU","Easter Monday","2022-04-18"
"EU","Labour Day","2022-05-01"
"EU","Christmas Eve","2022-12-24"
"EU","Christmas Day (substitute)","2022-12-26"
"EU","Boxing Day","2022-12-27"
"EU","New Year’s Day","2023-01-01"
"EU","Good Friday","2023-04-07"
"EU","Easter Monday","2023-04-10"
"EU","Labour Day","2023-05-01"
"EU","Christmas Eve","2023-12-24"
"EU","Christmas Day","2023-12-25"
"EU","Boxing Day","2023-12-26"
"EU","New Year’s Day","2024-01-01"
"EU","Good Friday","2024-03-29"
"EU","Easter Monday","2024-04-01"
"EU","Labour Day","2024-05-01"
"EU","Christmas Eve","2024-12-24"
"EU","Christmas Day","2024-12-25"
"EU","Boxing Day","2024-12-26"
"EU","New Year’s Day","2025-01-01"
"EU","Good Friday","2025-04-18"
"EU","Easter Monday","2025-04-21"
"EU","Labour Day","2025-05-01"
"EU","Christmas Eve","2025-12-24"
"EU","Christmas Day","2025-12-25"
"EU","Boxing Day","2025-12-26"
"GB","New Year’s Day","2020-01-01"
"GB","2nd January (Scotland)","2020-01-02"
"GB","Good Friday","2020-04-10"
"GB","Easter Monday (excl. Scotland)","2020-04-13"
"GB","Early May Bank Holiday","2020-05-08"
"GB","Spring Bank Holiday","2020-05-25"
"GB","Summer Bank Holiday (Scotland)","2020-08-03"
"GB","Summer Bank Holiday (excl. Scotland)","2020-08-31"
"GB","Christmas Day","2020-12-25"
"GB","Boxing Day (substitute)","2020-12-28"
"GB","New Year’s Day","2021-01-01"
"GB","2nd January (Scotland)","2021-01-04"
"GB","Good Friday","2021-04-02"
"GB","Easter Monday (excl. Scotland)","2021-04-05"
"GB","Early May Bank Holiday","2021-05-03"
"GB","Spring Bank Holiday","2021-06-03"
"GB","Platinum Jubilee","2021-06-04"
"GB","Summer Bank Holiday (Scotland)","2021-08-02"
"GB","Summer Bank Holiday (excl. Scotland)","2021-08-30"
"GB","Christmas Day (substitute)","2021-12-27"
"GB","Boxing Day (substitute)","2021-12-28"
"GB","New Year’s Day (substitute)","2022-01-03"
"GB","2nd January (Scotland)","2022-01-04"
"GB","Good Friday","2022-04-15"
"GB","Easter Monday (excl. Scotland)","2022-04-18"
"GB","Early May Bank Holiday","2022-05-02"
"GB","Spring Bank Holiday","2022-06-02"
"GB","Platinum Jubilee","2022-06-03"
"GB","Summer Bank Holiday (Scotland)","2022-08-01"
"GB","Summer Bank Holiday (excl. Scotland)","2022-08-29"
"GB","Queen’s Funeral","2022-09-19"
"GB","Christmas Day (substitute)","2022-12-27"
"GB","Boxing Day","2022-12-26"
"GB","New Year’s Day (substitute)","2023-01-02"
"GB","2nd January (Scotland)","2023-01-03"
"GB","Good Friday","2023-04-07"
"GB","Easter Monday (excl. Scotland)","2023-04-10"
"GB","Early May Bank Holiday","2023-05-01"
"GB","Coronation of King Charles III","2023-05-08"
"GB","Spring Bank Holiday","2023-05-29"
"GB","Summer Bank Holiday (Scotland)","2023-08-07"
"GB","Summer Bank Holiday (excl. Scotland)","2023-08-28"
"GB","Christmas Day","2023-12-25"
"GB","Boxing Day","2023-12-26"
"GB","New Year’s Day","2024-01-01"
"GB","2nd January (Scotland)","2024-01-02"
"GB","Good Friday","2024-03-29"
"GB","Easter Monday (excl. Scotland)","2024-04-01"
"GB","Early May Bank Holiday","2024-05-06"
"GB","Spring Bank Holiday","2024-05-27"
"GB","Summer Bank Holiday (Scotland)","2024-08-05"
"GB","Summer Bank Holiday (excl. Scotland)","2024-08-26"
"GB","Christmas Day","2024-12-25"
"GB","Boxing Day","2024-12-26"
"GB","New Year’s Day","2025-01-01"
"GB","2nd January (Scotland)","2025-01-02"
"GB","St Patrick’s Day (NI only)","2025-03-17"
"GB","Good Friday","2025-04-18"
"GB","Easter Monday (excl. Scotland)","2025-04-21"
"GB","Early May Bank Holiday","2025-05-05"
"GB","Spring Bank Holiday","2025-05-26"
"GB","Battle of the Boyne (NI only)","2025-07-14"
"GB","Summer Bank Holiday (Scotland)","2025-08-04"
"GB","Summer Bank Holiday (excl. Scotland)","2025-08-25"
"GB","St Andrew’s Day (Scotland, substitute)","2025-12-01"
"GB","Christmas Day","2025-12-25"
"GB","Boxing Day","2025-12-26"
